alphanumeric ID,Serial number ,Site,Collection Date,Sampling Method,Order,Taxa,Genus,Species,Count,Taxa Level,Host,Who ID,ID date,Deterioration,Confidence,Notes
TCSC_bv_hym_13Jul22,100.1,TSCS,07/13/22,blue vane,hymenoptera,chrysididae,,,7,family,,LZ,10/18/2023,intact,high,
TCSC_bv_hym_13Jul22,100.2,TSCS,07/13/22,blue vane,hymenoptera,apidae,,,3,family,,LZ,10/18/2023,intact,,
TCSC_bv_hym_13Jul22,100.3,TSCS,07/13/22,blue vane,hymenoptera,formicidae,,,7,family,,LZ,10/18/2023,,,
TCSC_bv_hym_13Jul22,100.4,TSCS,07/13/22,blue vane,hymenoptera,sphecidae,,,1,family,,LZ,10/18/2023,,low,
NSCS_sn_hym_13Jul22,101.1,NSCS,07/13/22,sweep net,hymenoptera,formicidae,,,8,family,,LZ,10/30/2023,,,
NSCS_sn_hym_13Jul22,101.2,NSCS,07/13/22,sweep net,hymenoptera,vespidae,,,1,family,,LZ,10/30/2023,,,
SELS_bv_hym_26Jul22,102.1,SELS,07/26/22,blue vane,hymenoptera,apidae,,,1,family,,LZ,11/7/2023,,,
SELS_bv_hym_26Jul22,102.2,SELS,07/26/22,blue vane,hymenoptera,chrysididae,,,2,family,,LZ,11/7/2023,,,
SELS_bv_hym_30Sep22,103.1,SELS,09/30/22,blue vane,hymenoptera,vespidae,,,17,family,,LZ,11/8/2023,,,
SAS_bv_hym_29Sep22,104.1,SAS,09/29/22,blue vane,hymenoptera,formicidae,,,5,family,,LZ,11/9/2023,,,
SAS_bv_hym_29Sep22,104.2,SAS,09/29/22,blue vane,hymenoptera,chrysididae,,,1,family,,LZ,11/9/2023,,,
SAS_bv_hym_29Sep22,104.3,SAS,09/29/22,blue vane,hymenoptera,vespidae,,,19,family,,LZ,11/9/2023,,,
NCTC_bv_hym_17Aug22,105.1,NCTC,08/17/22,blue vane,hymenoptera,formicidae,,,1,family,,LZ,11/9/2023,,,
NCTC_bv_hym_17Aug22,105.2,NCTC,08/17/22,blue vane,hymenoptera,pompilidae,,,1,family,,LZ,11/9/2023,deteriorating,,deteriorating abdomen
TAD_bv_hym_26Aug22,106.1,TAD,08/26/22,blue vane,hymenoptera,chrysididae,,,67,family,,LZ,11/10/2023,,,
TAD_bv_hym_26Aug22,106.2,TAD,08/26/22,blue vane,hymenoptera,formicidae,,,4,family,,LZ,11/10/2023,,,
TAD_bv_hym_26Aug22,106.3,TAD,08/26/22,blue vane,hymenoptera,vespidae,,,12,family,,LZ,11/10/2023,,,
TAD_bv_hym_26Aug22,106.4,TAD,08/26/22,blue vane,hymenoptera,pompilidae,,,1,family,,LZ,11/10/2023,,,
SLSC_sn_hym_25Aug22,107.1,SLSC,08/25/22,sweep net,hymenoptera,chrysididae,,,3,family,,LZ,11/14/2023,,,
SLSC_sn_hym_25Aug22,107.2,SLSC,08/25/22,sweep net,hymenoptera,formicidae,,,2,family,,LZ,11/14/2023,,,
SLSC_sn_hym_25Aug22,107.3,SLSC,08/25/22,sweep net,hymenoptera,bethylidae,,,1,family,,LZ,11/14/2023,intact,low,Appears to have prey in its mouth - similar to https://bugguide.net/node/view/1306549  
TY_bv_hym_30Sep22,108.1,TY,09/30/22,blue vane,hymenoptera,chrysididae,,,1,family,,LZ,11/15/2023,,,
TSSS_sn_hym_30Sep22,109.1,TSSS,09/30/22,sweep net,hymenoptera,ichneumonidae,,,1,family,,LZ,11/15/2023,deteriorating,low,"Unsure, some degradation"
NCTC_bv_hym_31Aug22,110.1,NCTC,08/31/22,blue vane,hymenoptera,apidae,,,1,family,,IS,11/16/2023,,high,LZ confirmed
NCTC_bv_hym_31Aug22,110.2,NCTC,08/31/22,blue vane,hymenoptera,formicidae,,,1,family,,LZ,11/16/2023,,high,Gravid?
TSSS_bv_hym_31Aug22,111.1,TSSS,08/31/22,blue vane,hymenoptera,chrysididae,,,7,family,,LZ,11/16/2023,,,
TSSS_bv_hym_31Aug22,111.2,TSSS,08/31/22,blue vane,hymenoptera,apidae,,,2,family,,LZ,11/16/2023,,,
